Type,GraspType,Object,Reponses,Instruction
Hold,Lateral,Acorn,1,How would you hold an acorn?
Hold,MediumWrap,Acorn,4,How would you hold an acorn?
Hold,Tripod,Acorn,15,How would you hold an acorn?
Hold,Writing,Acorn,0,How would you hold an acorn?
Hold,Lateral,Apple,1,How would you hold an apple?
Hold,MediumWrap,Apple,10,How would you hold an apple?
Hold,Tripod,Apple,6,How would you hold an apple?
Hold,Writing,Apple,3,How would you hold an apple?
Hold,Lateral,Apricot,0,How would you hold an apricot?
Hold,MediumWrap,Apricot,10,How would you hold an apricot?
Hold,Tripod,Apricot,10,How would you hold an apricot?
Hold,Writing,Apricot,0,How would you hold an apricot?
Hold,Lateral,Avocado,1,How would you hold an avocado?
Hold,MediumWrap,Avocado,10,How would you hold an avocado?
Hold,Tripod,Avocado,8,How would you hold an avocado?
Hold,Writing,Avocado,0,How would you hold an avocado?
Hold,Lateral,Ballpoint pen,1,How would you hold a ballpoint pen?
Hold,MediumWrap,Ballpoint pen,0,How would you hold a ballpoint pen?
Hold,Tripod,Ballpoint pen,1,How would you hold a ballpoint pen?
Hold,Writing,Ballpoint pen,18,How would you hold a ballpoint pen?
Hold,Lateral,Banana,2,How would you hold a banana?
Hold,MediumWrap,Banana,14,How would you hold a banana?
Hold,Tripod,Banana,1,How would you hold a banana?
Hold,Writing,Banana,3,How would you hold a banana?
Hold,Lateral,Banknote,13,How would you hold a banknote?
Hold,MediumWrap,Banknote,1,How would you hold a banknote?
Hold,Tripod,Banknote,1,How would you hold a banknote?
Hold,Writing,Banknote,5,How would you hold a banknote?
Hold,Lateral,Barrette,3,How would you hold a barrette?
Hold,MediumWrap,Barrette,0,How would you hold a barrette?
Hold,Tripod,Barrette,15,How would you hold a barrette?
Hold,Writing,Barrette,2,How would you hold a barrette?
Hold,Lateral,Battery,0,How would you hold a battery?
Hold,MediumWrap,Battery,4,How would you hold a battery?
Hold,Tripod,Battery,9,How would you hold a battery?
Hold,Writing,Battery,6,How would you hold a battery?
Hold,Lateral,Bead,1,How would you hold a bead?
Hold,MediumWrap,Bead,0,How would you hold a bead?
Hold,Tripod,Bead,16,How would you hold a bead?
Hold,Writing,Bead,3,How would you hold a bead?
Hold,Lateral,Beer bottle,2,How would you hold a beer bottle?
Hold,MediumWrap,Beer bottle,18,How would you hold a beer bottle?
Hold,Tripod,Beer bottle,0,How would you hold a beer bottle?
Hold,Writing,Beer bottle,0,How would you hold a beer bottle?
Hold,Lateral,Billiard ball,2,How would you hold a billiard ball?
Hold,MediumWrap,Billiard ball,8,How would you hold a billiard ball?
Hold,Tripod,Billiard ball,8,How would you hold a billiard ball?
Hold,Writing,Billiard ball,2,How would you hold a billiard ball?
Hold,Lateral,Book,17,How would you hold a book?
Hold,MediumWrap,Book,2,How would you hold a book?
Hold,Tripod,Book,1,How would you hold a book?
Hold,Writing,Book,0,How would you hold a book?
Hold,Lateral,Bookmark,6,How would you hold a bookmark?
Hold,MediumWrap,Bookmark,0,How would you hold a bookmark?
Hold,Tripod,Bookmark,8,How would you hold a bookmark?
Hold,Writing,Bookmark,6,How would you hold a bookmark?
